date,state,fips,day_num,new,value,type,growth
2020-03-22,Wisconsin,55,4,101,382,cases,0.3594306049822064
2020-03-22,Wisconsin,55,4,0,4,deaths,0.0
2020-03-23,Alabama,1,3,39,196,cases,0.2484076433121019
2020-03-23,Alabama,1,3,0,0,deaths,
2020-03-23,Arizona,4,2,81,234,cases,0.5294117647058824
2020-03-23,Arizona,4,2,0,2,deaths,0.0
2020-03-23,Arkansas,5,3,36,201,cases,0.21818181818181817
2020-03-23,Arkansas,5,3,0,0,deaths,
2020-03-23,California,6,16,389,2240,cases,0.2101566720691518
2020-03-23,California,6,16,4,39,deaths,0.11428571428571428
2020-03-23,Colorado,8,9,130,721,cases,0.21996615905245348
2020-03-23,Colorado,8,9,3,10,deaths,0.42857142857142855
2020-03-23,Connecticut,9,4,88,415,cases,0.2691131498470948
2020-03-23,Connecticut,9,4,2,10,deaths,0.25
2020-03-23,District of Columbia,11,1,22,138,cases,0.1896551724137931
2020-03-23,District of Columbia,11,1,0,2,deaths,0.0
2020-03-23,Florida,12,8,222,1222,cases,0.222
2020-03-23,Florida,12,8,5,18,deaths,0.38461538461538464
2020-03-23,Georgia,13,7,180,800,cases,0.2903225806451613
2020-03-23,Georgia,13,7,0,25,deaths,0.0
2020-03-23,Illinois,17,7,238,1285,cases,0.22731614135625597
2020-03-23,Illinois,17,7,3,12,deaths,0.3333333333333333
2020-03-23,Indiana,18,2,58,259,cases,0.2885572139303483
2020-03-23,Indiana,18,2,1,7,deaths,0.16666666666666666
2020-03-23,Iowa,19,0,15,105,cases,0.16666666666666666
2020-03-23,Iowa,19,0,0,0,deaths,
2020-03-23,Kentucky,21,1,21,124,cases,0.20388349514563106
2020-03-23,Kentucky,21,1,0,3,deaths,0.0
2020-03-23,Louisiana,22,8,335,1172,cases,0.4002389486260454
2020-03-23,Louisiana,22,8,14,34,deaths,0.7
2020-03-23,Maine,23,0,18,107,cases,0.20224719101123595
2020-03-23,Maine,23,0,0,0,deaths,
2020-03-23,Maryland,24,4,45,290,cases,0.1836734693877551
2020-03-23,Maryland,24,4,0,3,deaths,0.0
2020-03-23,Massachusetts,25,11,131,777,cases,0.20278637770897834
2020-03-23,Massachusetts,25,11,0,5,deaths,0.0
2020-03-23,Michigan,26,4,291,1324,cases,0.28170377541142305
2020-03-23,Michigan,26,4,7,16,deaths,0.7777777777777778
2020-03-23,Minnesota,27,3,64,235,cases,0.3742690058479532
2020-03-23,Minnesota,27,3,0,1,deaths,0.0
2020-03-23,Mississippi,28,2,42,249,cases,0.2028985507246377
