date,state,fips,new,value,type,growth
2020-02-21,Washington,53,0,1,cases,0.0
2020-02-21,Washington,53,0,0,deaths,
2020-02-21,Wisconsin,55,0,1,cases,0.0
2020-02-21,Wisconsin,55,0,0,deaths,
2020-02-22,Arizona,4,0,1,cases,0.0
2020-02-22,Arizona,4,0,0,deaths,
2020-02-22,California,6,0,9,cases,0.0
2020-02-22,California,6,0,0,deaths,
2020-02-22,Illinois,17,0,2,cases,0.0
2020-02-22,Illinois,17,0,0,deaths,
2020-02-22,Massachusetts,25,0,1,cases,0.0
2020-02-22,Massachusetts,25,0,0,deaths,
2020-02-22,Nebraska,31,0,11,cases,0.0
2020-02-22,Nebraska,31,0,0,deaths,
2020-02-22,Texas,48,0,4,cases,0.0
2020-02-22,Texas,48,0,0,deaths,
2020-02-22,Washington,53,0,1,cases,0.0
2020-02-22,Washington,53,0,0,deaths,
2020-02-22,Wisconsin,55,0,1,cases,0.0
2020-02-22,Wisconsin,55,0,0,deaths,
2020-02-23,Arizona,4,0,1,cases,0.0
2020-02-23,Arizona,4,0,0,deaths,
2020-02-23,California,6,0,9,cases,0.0
2020-02-23,California,6,0,0,deaths,
2020-02-23,Illinois,17,0,2,cases,0.0
2020-02-23,Illinois,17,0,0,deaths,
2020-02-23,Massachusetts,25,0,1,cases,0.0
2020-02-23,Massachusetts,25,0,0,deaths,
2020-02-23,Nebraska,31,0,11,cases,0.0
2020-02-23,Nebraska,31,0,0,deaths,
2020-02-23,Texas,48,0,4,cases,0.0
2020-02-23,Texas,48,0,0,deaths,
2020-02-23,Washington,53,0,1,cases,0.0
2020-02-23,Washington,53,0,0,deaths,
2020-02-23,Wisconsin,55,0,1,cases,0.0
2020-02-23,Wisconsin,55,0,0,deaths,
2020-02-24,Arizona,4,0,1,cases,0.0
2020-02-24,Arizona,4,0,0,deaths,
2020-02-24,California,6,2,11,cases,0.2222222222222222
2020-02-24,California,6,0,0,deaths,
2020-02-24,Illinois,17,0,2,cases,0.0
2020-02-24,Illinois,17,0,0,deaths,
2020-02-24,Massachusetts,25,0,1,cases,0.0
2020-02-24,Massachusetts,25,0,0,deaths,
2020-02-24,Nebraska,31,1,12,cases,0.09090909090909091
2020-02-24,Nebraska,31,0,0,deaths,
2020-02-24,Texas,48,6,10,cases,1.5
2020-02-24,Texas,48,0,0,deaths,
2020-02-24,Washington,53,4,5,cases,4.0
2020-02-24,Washington,53,0,0,deaths,
2020-02-24,Wisconsin,55,0,1,cases,0.0
2020-02-24,Wisconsin,55,0,0,deaths,
2020-02-25,Arizona,4,0,1,cases,0.0
2020-02-25,Arizona,4,0,0,deaths,
2020-02-25,California,6,0,11,cases,0.0
2020-02-25,California,6,0,0,deaths,
2020-02-25,Illinois,17,0,2,cases,0.0
2020-02-25,Illinois,17,0,0,deaths,
2020-02-25,Massachusetts,25,0,1,cases,0.0
2020-02-25,Massachusetts,25,0,0,deaths,
2020-02-25,Nebraska,31,1,13,cases,0.08333333333333333
2020-02-25,Nebraska,31,0,0,deaths,
2020-02-25,Texas,48,0,10,cases,0.0
2020-02-25,Texas,48,0,0,deaths,
2020-02-25,Washington,53,0,5,cases,0.0
2020-02-25,Washington,53,0,0,deaths,
2020-02-25,Wisconsin,55,0,1,cases,0.0
2020-02-25,Wisconsin,55,0,0,deaths,
2020-02-26,Arizona,4,0,1,cases,0.0
2020-02-26,Arizona,4,0,0,deaths,
2020-02-26,California,6,15,26,cases,1.3636363636363635
2020-02-26,California,6,0,0,deaths,
2020-02-26,Illinois,17,0,2,cases,0.0
2020-02-26,Illinois,17,0,0,deaths,
2020-02-26,Massachusetts,25,0,1,cases,0.0
2020-02-26,Massachusetts,25,0,0,deaths,
2020-02-26,Nebraska,31,0,13,cases,0.0
2020-02-26,Nebraska,31,0,0,deaths,
2020-02-26,Texas,48,0,10,cases,0.0
2020-02-26,Texas,48,0,0,deaths,
2020-02-26,Utah,49,0,1,cases,0.0
2020-02-26,Utah,49,0,0,deaths,
2020-02-26,Washington,53,0,5,cases,0.0
2020-02-26,Washington,53,0,0,deaths,
2020-02-26,Wisconsin,55,0,1,cases,0.0
2020-02-26,Wisconsin,55,0,0,deaths,
2020-02-27,Arizona,4,0,1,cases,0.0
2020-02-27,Arizona,4,0,0,deaths,
2020-02-27,California,6,0,26,cases,0.0
2020-02-27,California,6,0,0,deaths,
2020-02-27,Illinois,17,0,2,cases,0.0
2020-02-27,Illinois,17,0,0,deaths,
2020-02-27,Massachusetts,25,0,1,cases,0.0
2020-02-27,Massachusetts,25,0,0,deaths,
2020-02-27,Nebraska,31,0,13,cases,0.0
2020-02-27,Nebraska,31,0,0,deaths,
2020-02-27,Texas,48,0,10,cases,0.0
2020-02-27,Texas,48,0,0,deaths,
2020-02-27,Utah,49,0,1,cases,0.0
2020-02-27,Utah,49,0,0,deaths,
2020-02-27,Washington,53,0,5,cases,0.0
2020-02-27,Washington,53,0,0,deaths,
2020-02-27,Wisconsin,55,0,1,cases,0.0
2020-02-27,Wisconsin,55,0,0,deaths,
2020-02-28,Arizona,4,0,1,cases,0.0
2020-02-28,Arizona,4,0,0,deaths,
2020-02-28,California,6,1,27,cases,0.038461538461538464
2020-02-28,California,6,0,0,deaths,
2020-02-28,Illinois,17,0,2,cases,0.0
2020-02-28,Illinois,17,0,0,deaths,
2020-02-28,Massachusetts,25,0,1,cases,0.0
2020-02-28,Massachusetts,25,0,0,deaths,
2020-02-28,Nebraska,31,0,13,cases,0.0
2020-02-28,Nebraska,31,0,0,deaths,
2020-02-28,Texas,48,1,11,cases,0.1
2020-02-28,Texas,48,0,0,deaths,
2020-02-28,Utah,49,0,1,cases,0.0
2020-02-28,Utah,49,0,0,deaths,
2020-02-28,Washington,53,2,7,cases,0.4
2020-02-28,Washington,53,0,0,deaths,
2020-02-28,Wisconsin,55,0,1,cases,0.0
2020-02-28,Wisconsin,55,0,0,deaths,
2020-02-29,Arizona,4,0,1,cases,0.0
2020-02-29,Arizona,4,0,0,deaths,
2020-02-29,California,6,1,28,cases,0.037037037037037035
2020-02-29,California,6,0,0,deaths,
2020-02-29,Illinois,17,1,3,cases,0.5
2020-02-29,Illinois,17,0,0,deaths,
2020-02-29,Massachusetts,25,0,1,cases,0.0
2020-02-29,Massachusetts,25,0,0,deaths,
2020-02-29,Nebraska,31,0,13,cases,0.0
2020-02-29,Nebraska,31,0,0,deaths,
2020-02-29,Oregon,41,0,1,cases,0.0
2020-02-29,Oregon,41,0,0,deaths,
2020-02-29,Texas,48,0,11,cases,0.0
2020-02-29,Texas,48,0,0,deaths,
2020-02-29,Utah,49,0,1,cases,0.0
2020-02-29,Utah,49,0,0,deaths,
2020-02-29,Washington,53,3,10,cases,0.42857142857142855
2020-02-29,Washington,53,1,1,deaths,
2020-02-29,Wisconsin,55,0,1,cases,0.0
2020-02-29,Wisconsin,55,0,0,deaths,
2020-03-01,Arizona,4,0,1,cases,0.0
2020-03-01,Arizona,4,0,0,deaths,
2020-03-01,California,6,5,33,cases,0.17857142857142858
2020-03-01,California,6,0,0,deaths,
2020-03-01,Illinois,17,0,3,cases,0.0
2020-03-01,Illinois,17,0,0,deaths,
2020-03-01,Massachusetts,25,0,1,cases,0.0
2020-03-01,Massachusetts,25,0,0,deaths,
2020-03-01,Nebraska,31,0,13,cases,0.0
2020-03-01,Nebraska,31,0,0,deaths,
2020-03-01,Oregon,41,1,2,cases,1.0
2020-03-01,Oregon,41,0,0,deaths,
2020-03-01,Texas,48,0,11,cases,0.0
2020-03-01,Texas,48,0,0,deaths,
2020-03-01,Utah,49,0,1,cases,0.0
2020-03-01,Utah,49,0,0,deaths,
2020-03-01,Washington,53,7,17,cases,0.7
2020-03-01,Washington,53,2,3,deaths,2.0
